word,cluster_id
said,150
have,120
had,149
know,181
told,240
see,124
want,215
tell,487
asked,176
do,187
took,297
looked,174
eyes,234
take,380
think,219
get,255
face,108
knew,253
left,335
saw,225
head,80
made,201
come,288
going,567
go,244
came,348
mother,102
got,283
went,313
thought,268
put,420
wanted,365
say,447
did,350
hand,194
father,158
turned,275
need,341
found,663
seen,336
called,220
heard,412
help,309
hands,202
let,475
call,250
like,345
gave,169
ask,430
sat,198
stood,413
met,269
felt,492
leave,265
walked,425
way,314
find,473
make,499
life,392
voice,317
name,603
has,233
brought,501
look,645
says,237
kept,621
used,481
held,490
keep,629
love,211
hair,82
started,414
pulled,484
done,637
family,390
moved,583
thank,162
mind,248
seemed,399
work,261
sent,460
give,910
tried,625
taken,360
doing,433
stopped,537
feet,527
gone,521
reached,388
followed,643
nodded,131
understand,164
hear,375
given,346
lost,485
watched,708
shook,130
feel,614
believe,558
room,854
spoke,651
remember,627
wife,403
arms,385
smiled,452
right,362
mean,98
mouth,377
meet,966
body,488
led,511
daughter,55
loved,370
began,788
read,242
able,85
son,338
bring,919
caught,962
man,619
stop,904
talk,520
lips,922
looking,626
known,145
husband,780
friend,284
telling,305
stepped,159
sure,137
died,480
own,728
talked,750
parents,266
wants,279
home,726
picked,800
arrived,532
lived,500
pushed,472
needed,721
stared,247
laughed,200
stay,231
friends,724
liked,864
opened,642
returned,704
set,911
knows,318
trying,737
sister,890
heart,647
turn,105
talking,462
shoulders,600
worked,79
ran,839
killed,771
coming,941
decided,812
arm,623
married,241
legs,454
show,223
raised,998
passed,753
watching,551
wore,686
kill,428
taking,971
helped,582
noticed,915
shoulder,363
learned,482
live,555
spent,321
fingers,251
leaving,847
become,547
bought,351
paid,848
try,961
move,805
leaned,777
continued,920
house,550
back,73
place,659
pay,631
neck,488
watch,434
time,31
lives,272
use,671
clothes,906
cut,924
send,443
waiting,881
brother,986
looks,210
added,766
remembered,208
words,861
walk,315
paused,601
speak,217
touched,570
waited,618
thinking,649
visit,504
threw,406
mentioned,389
sitting,264
carried,333
showed,203
saying,801
follow,493
realized,310
lay,464
finished,742
join,916
chest,545
recognized,889
trust,622
skin,545
hold,529
believed,799
care,770
forced,155
throat,518
fell,441
handed,893
pointed,294
standing,287
appeared,782
asks,563
wondered,535
ordered,836
expected,129
happy,713
waved,157
answer,364
supposed,694
return,741
sorry,676
allowed,114
promised,735
side,518
asking,440
tells,358
joined,714
changed,252
getting,56
seem,217
stayed,569
studied,938
born,477
takes,821
understood,956
agreed,891
gaze,824
surprised,282
dead,85
lifted,908
sit,661
explained,791
holding,507
closed,675
reminded,778
became,958
smile,376
girl,180
pocket,87
wrote,444
seeing,880
missed,611
invited,873
whispered,549
entered,620
taught,993
offered,595
wait,814
hurt,886
child,534
office,797
working,775
shoes,48
run,950
approached,281
dropped,8
afraid,713
bed,960
meant,785
breath,148
busy,459
calls,467
placed,457
insisted,729
worried,418
children,236
play,273
played,92
business,677
wish,923
managed,40
having,612
imagine,678
introduced,89
shot,489
job,540
shrugged,802
touch,410
making,586
kissed,235
slept,441
